nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,days_since_update
NCT04646109,"ClinicalTrials.gov processed this data on January 29, 2021",2020-11-15,2020-12-03,NA,2021-01-25,2020-11-25,2020-11-27,Actual,2021-01-25,2021-01-27,Actual,NA,NA,NA,2021-01-25,2021-01-27,Actual,"May 11, 2020",Actual,2020-05-11,January 2021,2021-01-31,"September 2, 2020",Actual,2020-09-02,"September 2, 2020",Actual,2020-09-02,NA,Interventional,NA,"36 patients were included in the study group. But, 6 patients in the study group were excluded from the study and analysis because ivermectin treatments were terminated due to the detection of a mutation that impairs ivermectin metabolism. As a result, overall number of baseline participants in the study group was 30.",Ivermectin for Severe COVID-19 Management,The Effectiveness and Safety of Ivermectin as add-on Therapy in Severe COVID-19 Management,Completed,NA,Phase 3,66,Actual,Afyonkarahisar Health Sciences University,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,No,NA,2021-02-01T11:48:18Z,2021-02-01T11:48:18Z,102
NCT04542694,"ClinicalTrials.gov processed this data on January 29, 2021",2020-09-04,2020-10-11,NA,2020-11-03,2020-09-04,2020-09-09,Actual,2020-11-03,2020-11-05,Actual,NA,NA,NA,2020-11-03,2020-11-05,Actual,"May 21, 2020",Actual,2020-05-21,November 2020,2020-11-30,"August 20, 2020",Actual,2020-08-20,"August 10, 2020",Actual,2020-08-10,NA,Interventional,NA,,Study of Favipiravir Compared to Standard of Care in Hospitalized Patients With COVID-19,"Open-label Randomized Multicenter Comparative Study on the Efficacy and Safety of Areplivir Film-coated Tablets (PROMOMED RUS LLC, Russia) in Patients Hospitalized With COVID-19",Completed,NA,Phase 3,200,Actual,"Promomed, LLC",,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T12:02:19Z,2021-02-01T12:02:19Z,185
NCT04523831,"ClinicalTrials.gov processed this data on January 29, 2021",2020-08-19,2020-09-30,NA,2020-10-07,2020-08-20,2020-08-24,Actual,2020-10-07,2020-10-09,Actual,NA,NA,NA,2020-10-07,2020-10-09,Actual,"June 1, 2020",Actual,2020-06-01,October 2020,2020-10-31,"September 10, 2020",Actual,2020-09-10,"August 22, 2020",Actual,2020-08-22,NA,Interventional,NA,We followed intention to treat analysis; SPSS (Statistical Package for Social Sciences) version 20 was used to analyze data. To compare mean of the two group chi square test was done.,Clinical Trial of Ivermectin Plus Doxycycline for the Treatment of Confirmed Covid-19 Infection,A Phase III Trial to Promote Recovery From Covid 19 With Combined Doxycycline and Ivermectin Along Standard Care,Completed,NA,Phase 3,400,Actual,Dhaka Medical College,"We followed up the patients by telephonic (video) interview, which has some inherent drawback for the study. we could not assess viral clearance directly. Only single dose regimen was used. Efficacy might higher if the different regimen would use.",2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,September 2020 to December 2020,Person who are investigating covid-19 in various aspects,NA,Yes,"Patients age, sex, Date of covid positive report, Symtoms,Date of covid negative report, post covid symptoms, time to recover.",2021-02-01T12:04:55Z,2021-02-01T12:04:55Z,212
NCT04491994,"ClinicalTrials.gov processed this data on January 29, 2021",2020-07-28,2020-07-31,NA,2020-08-18,2020-07-28,2020-07-30,Actual,2020-08-18,2020-08-21,Actual,NA,NA,NA,2020-08-18,2020-08-21,Actual,"April 10, 2020",Actual,2020-04-10,August 2020,2020-08-31,"May 31, 2020",Actual,2020-05-31,"May 31, 2020",Actual,2020-05-31,NA,Interventional,COVID-19,sample size calculation was done and 540 patients enrolled,Clearing the Fog: Is Hydroxychloroquine Effective in Reducing COVID-19 Progression,Clearing the Fog: Is HCQ Effective in Reducing COVID-19 progression-a Randomized Controlled Trial,Completed,NA,Phase 3,540,Actual,UNICEF,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,any time when asked,by email,NA,Yes,data can be shared on demand in SPSS sheet,2021-02-01T12:09:12Z,2021-02-01T12:09:12Z,262
NCT04491240,"ClinicalTrials.gov processed this data on January 29, 2021",2020-07-27,2020-10-21,NA,2020-10-28,2020-07-27,2020-07-29,Actual,2020-10-28,2020-11-04,Actual,NA,NA,NA,2020-10-28,2020-11-04,Actual,"July 20, 2020",Actual,2020-07-20,October 2020,2020-10-31,"October 20, 2020",Actual,2020-10-20,"October 1, 2020",Actual,2020-10-01,NA,Interventional,COVID-19EXO,,Evaluation of Safety and Efficiency of Method of Exosome Inhalation in SARS-CoV-2 Associated Pneumonia.,The Protocol of Evaluation of Safety and Efficiency of Method of Exosome Inhalation in SARS-CoV-2 Associated Two-Sided Pneumonia,Completed,NA,Phase 1/Phase 2,30,Actual,"State-Financed Health Facility ""Samara Regional Medical Center Dinasty""",,3,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T12:09:17Z,2021-02-01T12:09:17Z,191
NCT04435808,"ClinicalTrials.gov processed this data on January 29, 2021",2020-06-04,2020-08-10,NA,2020-11-12,2020-06-16,2020-06-17,Actual,2020-11-12,2020-11-16,Actual,NA,NA,NA,2020-11-12,2020-11-16,Actual,"April 14, 2020",Actual,2020-04-14,November 2020,2020-11-30,"July 15, 2020",Actual,2020-07-15,"July 15, 2020",Actual,2020-07-15,NA,Interventional,NA,DSMB stopped the study,Efficacy of Hydroxychloroquine Prophylaxis for Health Care Workers at High Risk for COVID-19,Off Label Study to Evaluate the Efficacy of Hydroxychloroquine as Prophylaxis to Prevent Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection Among Health Care Workers at High Risk of Occupational Exposure to SARS-CoV-2,Terminated,NA,Phase 1/Phase 2,1,Actual,University of New Mexico,,2,NA,Stopped for futility by DSMB,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,No,NA,2021-02-01T12:16:38Z,2021-02-01T12:16:38Z,176
NCT04422561,"ClinicalTrials.gov processed this data on January 29, 2021",2020-06-06,2020-08-23,NA,2020-08-23,2020-06-06,2020-06-09,Actual,2020-08-23,2020-08-27,Actual,NA,NA,NA,2020-08-23,2020-08-27,Actual,"May 31, 2020",Actual,2020-05-31,August 2020,2020-08-31,"July 27, 2020",Actual,2020-07-27,"July 14, 2020",Actual,2020-07-14,NA,Interventional,NA,,Prophylactic Ivermectin in COVID-19 Contacts,Use of Ivermectin as a Prophylactic Option in Asymptomatic Family Close Contact for Patient With COVID-19,Completed,NA,Phase 2/Phase 3,340,Actual,Zagazig University,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T12:18:31Z,2021-02-01T12:18:31Z,257
NCT04410159,"ClinicalTrials.gov processed this data on January 29, 2021",2020-05-27,2020-07-08,NA,2020-07-17,2020-05-28,2020-06-01,Actual,2020-07-17,2020-07-21,Actual,NA,NA,NA,2020-07-17,2020-07-21,Actual,"June 22, 2020",Actual,2020-06-22,July 2020,2020-07-31,"July 6, 2020",Actual,2020-07-06,"June 29, 2020",Actual,2020-06-29,NA,Interventional,GARGLES,,Povidone-Iodine Vs Essential Oil Vs Tap Water Gargling For COVID-19 Patients,"A Pilot, Open-Labelled, Randomised Controlled Trial Of Povidone-Iodine Vs Essential Oil And Tap Water Gargling For COVID-19 Patients",Completed,NA,Phase 2,20,Actual,Universiti Sains Islam Malaysia,Inadequate budget for laboratory test lead to small numbers of subjects analyzed,4,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,September to December 2020,email to drnurul@usim.edu.my,NA,Yes,The participant data from the final research dataset used in the published manuscript will be shared upon reasonable request. The protocol and data analysis will be shared in clinicaltrial,2021-02-01T12:20:04Z,2021-02-01T12:20:04Z,294
NCT04390022,"ClinicalTrials.gov processed this data on January 29, 2021",2020-05-07,2020-12-09,NA,2020-12-10,2020-05-14,2020-05-15,Actual,2020-12-10,2020-12-17,Actual,NA,NA,NA,2020-12-10,2020-12-17,Actual,"July 31, 2020",Actual,2020-07-31,December 2020,2020-12-31,"October 9, 2020",Actual,2020-10-09,"September 17, 2020",Actual,2020-09-17,NA,Interventional,SAINT,,Sars-CoV-2/COVID-19 Ivermectin Navarra-ISGlobal Trial,Pilot Study to Evaluate the Potential of Ivermectin to Reduce COVID-19 Transmission,Completed,NA,Phase 2,24,Actual,"Clinica Universidad de Navarra, Universidad de Navarra",,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T12:23:43Z,2021-02-01T12:23:43Z,148
NCT04343092,"ClinicalTrials.gov processed this data on January 29, 2021",2020-04-05,2020-06-11,NA,2020-11-02,2020-04-08,2020-04-13,Actual,2020-11-02,2020-11-04,Actual,NA,NA,NA,2020-11-02,2020-11-04,Actual,"April 18, 2020",Actual,2020-04-18,November 2020,2020-11-30,"June 1, 2020",Actual,2020-06-01,"May 31, 2020",Actual,2020-05-31,NA,Interventional,NA,,Effectiveness of Ivermectin as add-on Therapy in COVID-19 Management,Effectiveness of Ivermectin as add-on Therapy in COVID-19 Management (An Externally Controlled Pilot Trial),Completed,NA,Phase 1,16,Actual,University of Baghdad,"small sample size; single center design, and short time for the study",1,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T12:31:15Z,2021-02-01T12:31:15Z,186
