nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,days_since_update
NCT04715997,"ClinicalTrials.gov processed this data on January 29, 2021",2021-01-18,NA,NA,2021-01-18,2021-01-18,2021-01-20,Actual,NA,NA,NA,NA,NA,NA,2021-01-18,2021-01-20,Actual,"December 30, 2020",Actual,2020-12-30,January 2021,2021-01-31,"March 30, 2022",Anticipated,2022-03-30,"May 30, 2021",Anticipated,2021-05-30,NA,Interventional,NA,,"Safety and Immunogenicity Study of GX-19N, a COVID-19 Preventive DNA Vaccine in Healthy Adults","A Phase 1/2a, Multicenter, Randomized, Double-blind, Placebo-controlled Study to Investigate the Safety, Tolerability, and Immunogenicity of GX-19N, a COVID-19 Preventive DNA Vaccine in Healthy Subjects",Recruiting,NA,Phase 1/Phase 2,170,Anticipated,"Genexine, Inc.",,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T11:39:34Z,2021-02-01T11:39:34Z,75
NCT04691947,"ClinicalTrials.gov processed this data on January 29, 2021",2020-11-14,NA,NA,2020-12-31,2020-12-30,2020-12-31,Actual,NA,NA,NA,NA,NA,NA,2020-12-31,2021-01-05,Actual,"November 5, 2020",Actual,2020-11-05,December 2020,2020-12-31,"March 15, 2022",Anticipated,2022-03-15,"March 1, 2021",Anticipated,2021-03-01,NA,Interventional,ERUCOV-VAC,,Safety and Immunogenicity of Two Different Strengths of the Inactivated COVID-19 Vaccine ERUCOV-VAC,"Phase 1 Study for the Determination of Safety and Immunogenicity of Two Different Strengths of the Inactivated COVID-19 Vaccine ERUCOV-VAC, Given Twice Intramuscularly to Healthy Volunteers, in a Placebo Controlled Study Design.",Recruiting,NA,Phase 1,44,Anticipated,Health Institutes of Turkey,,3,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T11:42:26Z,2021-02-01T11:42:26Z,93
NCT04690387,"ClinicalTrials.gov processed this data on January 29, 2021",2020-12-28,NA,NA,2021-01-25,2020-12-29,2020-12-30,Actual,NA,NA,NA,NA,NA,NA,2021-01-25,2021-01-27,Actual,"December 7, 2020",Actual,2020-12-07,January 2021,2021-01-31,January 2022,Anticipated,2022-01-31,"January 13, 2021",Actual,2021-01-13,NA,Interventional,NA,,"Dendritic Cell Vaccine, AV-COVID-19, to Prevent COVID-19 Infection","Adaptive Phase I Clinical Trial of Preventive Vaccine Consisting of Autologous Dendritic Cells Previously Incubated With S-protein From SARS-CoV-2, in Subjects Negative for COVID-19 Infection and Anti-SARS-CoV-2 Antibodies","Active, not recruiting",NA,Phase 1,27,Actual,"Aivita Biomedical, Inc.",,9,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:42:37Z,2021-02-01T11:42:37Z,68
NCT04685603,"ClinicalTrials.gov processed this data on January 29, 2021",2020-12-22,NA,NA,2020-12-24,2020-12-24,2020-12-28,Actual,NA,NA,NA,NA,NA,NA,2020-12-24,2020-12-29,Actual,"December 7, 2020",Actual,2020-12-07,December 2020,2020-12-31,"January 31, 2022",Anticipated,2022-01-31,"January 31, 2021",Anticipated,2021-01-31,NA,Interventional,NA,,Dendritic Cell Vaccine to Prevent COVID-19,"Adaptive Phase I Clinical Trial of Preventive Vaccine Consisting of Autologous Dendritic Cells Previously Incubated With S-protein From SARS-CoV-2, in Subjects Negative for COVID-19 Infection and Anti-SARS-CoV-2 Antibodies",Recruiting,NA,Phase 1,27,Anticipated,Indonesia-MoH,,9,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T11:43:14Z,2021-02-01T11:43:14Z,100
NCT04674189,"ClinicalTrials.gov processed this data on January 29, 2021",2020-12-14,NA,NA,2021-01-12,2020-12-14,2020-12-19,Actual,NA,NA,NA,NA,NA,NA,2021-01-12,2021-01-14,Actual,"December 23, 2020",Actual,2020-12-23,January 2021,2021-01-31,"April 30, 2022",Anticipated,2022-04-30,"June 30, 2021",Anticipated,2021-06-30,NA,Interventional,NA,,A Study to Evaluate the Safety and Immunogenicity of Vaccine CVnCoV in Healthy Adults in Germany for COVID-19,"COVID-19: A Phase 3, Randomized, Observer-Blinded, Placebo-Controlled Clinical Study Evaluating the Safety and Immunogenicity of Investigational SARS-CoV-2 mRNA Vaccine CVnCoV in Adult Health Care Workers in Mainz (Germany)",Recruiting,NA,Phase 3,2520,Anticipated,CureVac AG,,3,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-02-01T11:44:39Z,2021-02-01T11:44:39Z,81
NCT04659941,"ClinicalTrials.gov processed this data on January 29, 2021",2020-12-08,NA,NA,2020-12-08,2020-12-08,2020-12-09,Actual,NA,NA,NA,NA,NA,NA,2020-12-08,2020-12-09,Actual,"October 1, 2020",Actual,2020-10-01,December 2020,2020-12-31,"October 1, 2022",Anticipated,2022-10-01,"October 1, 2021",Anticipated,2021-10-01,NA,Interventional,ProBCG,,Use of BCG Vaccine as a Preventive Measure for COVID-19 in Health Care Workers,Use of BCG Vaccine as a Preventive Measure for COVID-19 in Health Care Workers,Recruiting,NA,Phase 2,1000,Anticipated,Universidade Federal do Rio de Janeiro,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,No,NA,2021-02-01T11:46:32Z,2021-02-01T11:46:32Z,116
NCT04673149,"ClinicalTrials.gov processed this data on January 29, 2021",2020-12-11,NA,NA,2020-12-23,2020-12-15,2020-12-17,Actual,NA,NA,NA,NA,NA,NA,2020-12-23,2020-12-24,Actual,"December 23, 2020",Actual,2020-12-23,December 2020,2020-12-31,"December 31, 2022",Anticipated,2022-12-31,"July 31, 2022",Anticipated,2022-07-31,NA,Interventional,NA,,GLS-5310 Vaccine for the Prevention of SARS-CoV-2 (COVID-19),"Multicenter, Randomized, Combined Phase I Dose-escalation and Phase IIa Double-blind, Placebo-controlled Study of the Safety, Tolerability, and Immunogenicity of GLS-5310 DNA Vaccine, Administered Intradermally Against SARS-CoV-2 in Healthy Adults",Recruiting,NA,Phase 1/Phase 2,345,Anticipated,"GeneOne Life Science, Inc.",,5,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-02-01T11:44:49Z,2021-02-01T11:44:49Z,101
NCT04648800,"ClinicalTrials.gov processed this data on January 29, 2021",2020-10-18,NA,NA,2020-11-30,2020-11-30,2020-12-02,Actual,NA,NA,NA,NA,NA,NA,2020-11-30,2020-12-02,Actual,"July 7, 2020",Actual,2020-07-07,November 2020,2020-11-30,April 2021,Anticipated,2021-04-30,December 2020,Anticipated,2020-12-31,NA,Interventional,NA,,Clinical Trial Evaluating the Effect of BCG Vaccination on the Incidence and Severity of SARS-CoV-2 Infections Among Healthcare Professionals During the COVID-19 Pandemic in Poland,"A Multi-centre, Randomised, Double-blind, Placebo-controlled Phase III Clinical Trial Evaluating the Effect of BCG Vaccination on the Incidence and Severity of SARS-CoV-2 Infections Among Healthcare Professionals During the COVID-19 Pandemic in Poland",Recruiting,NA,Phase 3,1000,Anticipated,University of Rzeszow,,3,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,Undecided,NA,2021-02-01T11:47:58Z,2021-02-01T11:47:58Z,124
NCT04641858,"ClinicalTrials.gov processed this data on January 29, 2021",2020-11-22,NA,NA,2020-12-03,2020-11-22,2020-11-24,Actual,NA,NA,NA,NA,NA,NA,2020-12-03,2020-12-04,Actual,"December 3, 2020",Actual,2020-12-03,November 2020,2020-11-30,March 2022,Anticipated,2022-03-31,February 2022,Anticipated,2022-02-28,NA,Interventional,EDCTP,,BCG to Reduce Absenteeism Among Health Care Workers During the COVID-19 Pandemic,BCG Vaccine to Reduce Unplanned Absenteeism Due to Illness of Health Care Workers During the COVID-19 Pandemic. A Multi-center Randomised Controlled Trial (BCG-COVID-RCT),Recruiting,NA,Phase 4,1050,Anticipated,University of Southern Denmark,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,When follow-up has been completed and the dataset have been closed.,Non-identifiable individual data can be shared on the basis of a data sharing proposal sent to ifronteira@ihmt.unl.pt,NA,Yes,Non-identifiable individual data can be shared on the basis of a data sharing proposal sent to professor In̻s Fronteira ifronteira@ihmt.unl.pt,2021-02-01T11:48:52Z,2021-02-01T11:48:52Z,121
NCT04639466,"ClinicalTrials.gov processed this data on January 29, 2021",2020-11-04,NA,NA,2021-01-06,2020-11-19,2020-11-20,Actual,NA,NA,NA,NA,NA,NA,2021-01-06,2021-01-07,Actual,"December 11, 2020",Actual,2020-12-11,November 2020,2020-11-30,"November 10, 2022",Anticipated,2022-11-10,"November 10, 2022",Anticipated,2022-11-10,NA,Interventional,NA,,"A Synthetic MVA-based SARS-CoV-2 Vaccine, COH04S1, for the Prevention of COVID-19","Phase 1 Dose Escalation Study to Evaluate the Safety and Biologically Effective Dose of COH04S1, a Synthetic MVA-Based SARS-CoV-2 Vaccine, Administered as One or Two Injections to Healthy Adult Volunteers",Recruiting,NA,Phase 1,129,Anticipated,City of Hope Medical Center,,3,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,NA,NA,2021-02-01T11:49:11Z,2021-02-01T11:49:11Z,87
