nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,days_since_update
NCT04347408,"ClinicalTrials.gov processed this data on October 15, 2021",2020-04-07,2021-08-10,NA,2021-08-17,2020-04-11,2020-04-15,Actual,2021-08-17,2021-08-18,Actual,NA,NA,NA,2021-08-17,2021-08-18,Actual,"May 6, 2020",Actual,2020-05-06,August 2021,2021-08-31,"December 13, 2020",Actual,2020-12-13,"December 13, 2020",Actual,2020-12-13,NA,Observational,NA,,Seroprevalence of SARS-Cov-2 Antibodies in Children,Seroprevalence of SARS-Cov-2 Antibodies in Children - a Prospective Multicentre Cohort Study,Completed,NA,NA,992,Actual,"Queen's University, Belfast",The limitations of this study are that all of the children in this study had only mild disease making comparison between severe and mild disease impossible. The children were also recruited from healthcare workers and the prevalence of antibodies is likely to be lower in the general population.,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      Blood plasma
    ",NA,NA,NA,NA,NA,2021-10-17T08:30:35Z,2021-10-17T08:30:35Z,74
NCT05043142,"ClinicalTrials.gov processed this data on October 15, 2021",2021-09-10,2021-09-14,NA,2021-09-28,2021-09-13,2021-09-14,Actual,2021-09-28,2021-10-01,Actual,NA,NA,NA,2021-09-28,2021-10-01,Actual,"March 16, 2021",Actual,2021-03-16,September 2021,2021-09-30,"June 23, 2021",Actual,2021-06-23,"June 23, 2021",Actual,2021-06-23,NA,Observational,NA,,Epidemiological Study of the COVID-2019 in Participating Organizations.,"Exhaustive, Cross-sectional, Non-interventional, Multicenter Retrospective Epidemiological Study of the COVID-2019 Incidence and Prevention Methods of SARS, Including COVID-2019, Among Staff of Participating Organizations.",Completed,NA,NA,3632,Actual,Yuria-Pharm,"Probable selection bias (employed, but not present at office).
Long-term data collection there is a difference in the duration of action of the exposure factor.
The retrospective study design has limitations on the completeness and accuracy of the data provided by the study subjects.
The direction of the relationship cannot be determined for all relationships (there may be an inverse relationship).",NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Whole blood
    ",NA,NA,NA,Undecided,NA,2021-10-17T06:45:16Z,2021-10-17T06:45:16Z,32
NCT04912700,"ClinicalTrials.gov processed this data on October 15, 2021",2021-06-01,2021-09-04,NA,2021-09-28,2021-06-01,2021-06-03,Actual,2021-09-28,2021-09-30,Actual,NA,NA,NA,2021-09-28,2021-09-30,Actual,"June 1, 2021",Actual,2021-06-01,September 2021,2021-09-30,"June 7, 2021",Actual,2021-06-07,"June 7, 2021",Actual,2021-06-07,NA,Observational,NA,,The Impact of Vaccination on Severity of Illness in COVID-19,The Impact of Vaccination on Severity of Illness in COVID-19: A Multicenter Cohort Study,Completed,NA,NA,11834,Actual,William Beaumont Hospitals,Retrospective study of medical records,NA,3,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,No plan at this point.,2021-10-17T07:03:41Z,2021-10-17T07:03:41Z,32
NCT04709068,"ClinicalTrials.gov processed this data on October 15, 2021",2021-01-12,2021-08-09,NA,2021-08-12,2021-01-13,2021-01-14,Actual,2021-08-12,2021-08-19,Actual,NA,NA,NA,2021-08-12,2021-08-19,Actual,"February 8, 2021",Actual,2021-02-08,August 2021,2021-08-31,"June 1, 2021",Actual,2021-06-01,"May 3, 2021",Actual,2021-05-03,NA,Observational,RiskSEARCH,,Risk Stratification and Early Alerting Regarding COVID-19 Hospitalization,Risk Stratification and Early Alerting Regarding COVID-19 Hospitalization,Terminated,NA,NA,8,Actual,Current Health,,NA,1,recruitment and enrollment challenges due to fast-changing landscape of pandemic,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,,NA,NA,NA,No,NA,2021-10-17T07:33:29Z,2021-10-17T07:33:29Z,79
NCT04542226,"ClinicalTrials.gov processed this data on October 15, 2021",2020-09-08,2020-11-12,NA,2020-12-07,2020-09-08,2020-09-09,Actual,2020-11-24,2020-12-03,Actual,NA,NA,NA,2020-12-07,2020-12-09,Actual,"March 31, 2020",Actual,2020-03-31,December 2020,2020-12-31,"October 30, 2020",Actual,2020-10-30,"July 15, 2020",Actual,2020-07-15,NA,Observational,NA,,Observational Open Study of Polyoxidonium in Hospitalized Patients With COVID-19,Open Observational Study of Efficacy and Safety of Polyoxidonium in Complex Therapy of Hospitalized Patients With COVID-19,Completed,NA,NA,81,Actual,NPO Petrovax,"There was no control or comparison group, polyoxidonium was used in the treatment of all patients, it is not possible to compare the results of treatment of patients with and without Polyoxidonium. The study used various treatment regimens for COVID-19 (antiviral agents, antimalarial agents, anticoagulants), depending on the base of the study, so it is impossible to fully determine whether these agents influenced the effectiveness of Polyoxidonium.",NA,1,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-10-17T07:58:26Z,2021-10-17T07:58:26Z,327
NCT04474496,"ClinicalTrials.gov processed this data on October 15, 2021",2020-07-10,2021-02-28,NA,2021-04-01,2020-07-15,2020-07-16,Actual,2021-04-01,2021-04-05,Actual,NA,NA,NA,2021-04-01,2021-04-05,Actual,"July 27, 2020",Actual,2020-07-27,April 2021,2021-04-30,"November 30, 2020",Actual,2020-11-30,"November 30, 2020",Actual,2020-11-30,NA,Observational,NA,120 eligible individuals completed at least 10 survey items and were included in the final analytical sample,Impact of COVID-19 on Marshallese Communities in the U.S.,Impact of COVID-19 on Marshallese Communities in the U.S.,Completed,NA,NA,120,Actual,University of Arkansas,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2021-10-17T08:08:55Z,2021-10-17T08:08:55Z,212
NCT04431908,"ClinicalTrials.gov processed this data on October 15, 2021",2020-06-12,2021-03-03,NA,2021-05-28,2020-06-12,2020-06-16,Actual,2021-05-28,2021-06-02,Actual,NA,NA,NA,2021-05-28,2021-06-02,Actual,"June 15, 2020",Actual,2020-06-15,May 2021,2021-05-31,"November 18, 2020",Actual,2020-11-18,"October 15, 2020",Actual,2020-10-15,NA,Observational,NA,,Validation of a Rapid Quantitative Test for Loss of Smell in COVID-19 Subjects,Validation of a Rapid Quantitative Test for Loss of Smell in COVID-19 Subjects,Completed,NA,NA,1320,Actual,Yale University,"It is possible that the PCR COVID test results were incorrect, as these tests are not 100% accurate.",NA,2,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,Undecided,NA,2021-10-17T08:17:44Z,2021-10-17T08:17:44Z,155
NCT04425863,"ClinicalTrials.gov processed this data on October 15, 2021",2020-06-08,2020-08-13,NA,2020-10-08,2020-06-08,2020-06-11,Actual,2020-10-08,2020-10-19,Actual,NA,NA,NA,2020-10-08,2020-10-19,Actual,"May 1, 2020",Actual,2020-05-01,October 2020,2020-10-31,"August 30, 2020",Actual,2020-08-30,"August 30, 2020",Actual,2020-08-30,NA,Observational,IDEA,,"Ivermectin, Aspirin, Dexamethasone and Enoxaparin as Treatment of Covid 19","Evaluation of Ivermectin, Aspirin, Dexamethasone and Enoxaparin as Treatment of covid19",Completed,NA,NA,167,Actual,Eurnekian Public Hospital,,NA,3,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,Undecided,"Personal data will remain secret. Only clinical descriptions (age, gender, co-morbidities, evolution, outcomes will be released",2021-10-17T08:18:36Z,2021-10-17T08:18:36Z,387
NCT04425850,"ClinicalTrials.gov processed this data on October 15, 2021",2020-06-08,2020-08-13,NA,2020-10-15,2020-06-08,2020-06-11,Actual,2020-10-15,2020-10-19,Actual,NA,NA,NA,2020-10-15,2020-10-19,Actual,"June 1, 2020",Actual,2020-06-01,October 2020,2020-10-31,"August 10, 2020",Actual,2020-08-10,"August 10, 2020",Actual,2020-08-10,NA,Observational,IVERCAR,,USEFULNESS of Topic Ivermectin and Carrageenan to Prevent Contagion of Covid 19,USEFULNESS of Topic Ivermectin and Carrageenan to Prevent Contagion of Covid Among Healthy People and Health Personnel,Completed,NA,NA,229,Actual,Eurnekian Public Hospital,,NA,2,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,Undecided,NA,2021-10-17T08:18:37Z,2021-10-17T08:18:37Z,380
NCT04385238,"ClinicalTrials.gov processed this data on October 15, 2021",2020-05-10,2020-11-01,NA,2021-01-05,2020-05-11,2020-05-12,Actual,2021-01-05,2021-01-07,Actual,NA,NA,NA,2021-01-05,2021-01-07,Actual,"May 15, 2020",Actual,2020-05-15,January 2021,2021-01-31,"June 20, 2020",Actual,2020-06-20,"June 20, 2020",Actual,2020-06-20,NA,Observational,NA,,Health and Wellbeing of Pregnant and Post-Partum Women During the COVID-19 Pandemic,Health and Wellbeing of Pregnant and Post-Partum Women During the COVID-19 Pandemic,Completed,NA,NA,6894,Actual,Pregistry,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2021-10-17T08:24:52Z,2021-10-17T08:24:52Z,298
