nct_id,version,Date,Changes
NCT04245631,1,"January 26, 2020",None (earliest Version on record)
NCT04245631,2,"April 9, 2020",Study Description
NCT04245631,2,"April 9, 2020",Study Status
NCT04256395,1,"February 3, 2020",None (earliest Version on record)
NCT04256395,2,"February 5, 2020",Recruitment Status
NCT04256395,2,"February 5, 2020", Study Status
NCT04256395,2,"February 5, 2020", Contacts/Locations
NCT04256395,2,"February 5, 2020", Outcome Measures
NCT04256395,2,"February 5, 2020", Study Description
NCT04256395,2,"February 5, 2020", Eligibility
NCT04256395,2,"February 5, 2020",Conditions
NCT04256395,3,"February 18, 2020",Study Identification
NCT04256395,3,"February 18, 2020", Eligibility
NCT04256395,3,"February 18, 2020", Study Description
NCT04256395,3,"February 18, 2020", Study Design
NCT04256395,3,"February 18, 2020", Conditions
NCT04256395,3,"February 18, 2020",Study Status
NCT04256395,4,"April 20, 2020",References
NCT04256395,4,"April 20, 2020",Study Status
NCT04260308,1,"February 5, 2020",None (earliest Version on record)
NCT04255940,1,"February 3, 2020",None (earliest Version on record)
NCT04259892,1,"February 5, 2020",None (earliest Version on record)
NCT04259892,2,"February 6, 2020",Recruitment Status
NCT04259892,2,"February 6, 2020", Study Status
NCT04259892,2,"February 6, 2020", Outcome Measures
NCT04259892,2,"February 6, 2020", Contacts/Locations
NCT04259892,2,"February 6, 2020", Study Description
NCT04259892,2,"February 6, 2020",Oversight
NCT04259892,3,"February 7, 2020",Study Status
NCT04259892,4,"February 13, 2020",Study Status
NCT04259892,4,"February 13, 2020", Contacts/Locations
NCT04259892,4,"February 13, 2020", Outcome Measures
NCT04259892,4,"February 13, 2020",Study Description
NCT04259892,5,"May 20, 2020",Outcome Measures
NCT04259892,5,"May 20, 2020", Contacts/Locations
NCT04259892,5,"May 20, 2020", Eligibility
NCT04259892,5,"May 20, 2020", Study Design
NCT04259892,5,"May 20, 2020", Study Description
NCT04259892,5,"May 20, 2020", Study Status
NCT04259892,5,"May 20, 2020",Study Identification
NCT04283396,1,"February 20, 2020",None (earliest Version on record)
NCT04283396,2,"March 5, 2020",Recruitment Status
NCT04283396,2,"March 5, 2020", Study Status
NCT04283396,2,"March 5, 2020", Contacts/Locations
NCT04283396,2,"March 5, 2020",Oversight
NCT04283396,3,"March 15, 2020",Eligibility
NCT04283396,3,"March 15, 2020",Study Status
NCT04279782,1,"February 19, 2020",None (earliest Version on record)
NCT04279782,2,"February 20, 2020",Outcome Measures
NCT04279782,2,"February 20, 2020",Study Status
