country,Study_Count
Argentina,4
Australia,6
Austria,1
Bahrain,1
Belarus,1
Belgium,4
Brazil,6
Canada,5
Cape Verde,1
Chile,3
China,20
Colombia,1
Denmark,2
Egypt,1
France,2
Germany,9
Greece,1
Guinea-Bissau,2
India,3
Indonesia,3
Israel,1
Italy,1
Japan,5
Jordan,1
Kazakhstan,2
"Korea, Republic of",4
Mexico,4
Mongolia,1
Mozambique,1
Netherlands,6
New Zealand,1
Pakistan,1
Panama,1
Peru,3
Poland,1
Puerto Rico,1
Russian Federation,7
Singapore,2
South Africa,4
Spain,2
Taiwan,3
Turkey,3
United Arab Emirates,1
United Kingdom,7
United States,25
Vietnam,1
