intervention_type,Study_Count
"NA",676
Other,583
Diagnostic Test,293
Drug,70
Behavioral,58
Device,58
Biological,56
Procedure,50
Diagnostic Test|Other,20
Biological|Other,6
Other|Procedure,6
Dietary Supplement,5
Genetic,5
Combination Product,4
Device|Diagnostic Test,3
Behavioral|Diagnostic Test,2
Biological|Diagnostic Test,2
Radiation,2
Behavioral|Biological|Device,1
Behavioral|Biological|Other,1
Behavioral|Other,1
Biological|Diagnostic Test|Drug|Other,1
Biological|Diagnostic Test|Genetic,1
Device|Diagnostic Test|Radiation,1
Diagnostic Test|Drug,1
Diagnostic Test|Genetic,1
Diagnostic Test|Procedure,1
Diagnostic Test|Radiation,1
Dietary Supplement|Drug,1
Drug|Other,1
Drug|Other|Procedure,1
Genetic|Other,1
